Sector,English Score,Maths Score,ICSEA,Postcode,School Link,Overall Score,Total Enrolments,School Name
Non-government,3,5,1115,3169,"https://bettereducation.com.au/QuerySchool.aspx?Name=Heatherton Christian College,Clarinda,VIC,3169&State=VIC",94,469,"Heatherton Christian College,Clarinda,VIC,3169"
Non-government,4,5,1105,3128,"https://bettereducation.com.au/QuerySchool.aspx?Name=Our Lady of Sion College,Box Hill,VIC,3128&State=VIC",94,964,"Our Lady of Sion College,Box Hill,VIC,3128"
Government,4,5,1113,3030,"https://bettereducation.com.au/QuerySchool.aspx?Name=Alamanda K-9 College,Point Cook,VIC,3030&State=VIC",94,2624,"Alamanda K-9 College,Point Cook,VIC,3030"
Non-government,3,5,1134,3351,"https://bettereducation.com.au/QuerySchool.aspx?Name=The Geelong College,Newtown,VIC,3220&State=VIC",94,1313,"The Geelong College,Newtown,VIC,3220"
Non-government,3,5,1073,3977,"https://bettereducation.com.au/QuerySchool.aspx?Name=Casey Grammar School,Cranbourne East,VIC,3977&State=VIC",94,930,"Casey Grammar School,Cranbourne East,VIC,3977"
Non-government,4,4,1112,3162,"https://bettereducation.com.au/QuerySchool.aspx?Name=Melbourne Montessori School,Caulfield South,VIC,3162&State=VIC",94,285,"Melbourne Montessori School,Caulfield South,VIC,3162"
Non-government,4,4,1152,3182,"https://bettereducation.com.au/QuerySchool.aspx?Name=St Michael's Grammar School,St Kilda,VIC,3182&State=VIC",93,1180,"St Michael's Grammar School,St Kilda,VIC,3182"
Non-government,3,5,1046,3400,"https://bettereducation.com.au/QuerySchool.aspx?Name=Holy Trinity Lutheran School,Horsham,VIC,3400&State=VIC",93,569,"Holy Trinity Lutheran School,Horsham,VIC,3400"
Government,3,5,1114,3206,"https://bettereducation.com.au/QuerySchool.aspx?Name=Albert Park College,Albert Park,VIC,3206&State=VIC",93,1375,"Albert Park College,Albert Park,VIC,3206"
Non-government,3,5,1001,3091,"https://bettereducation.com.au/QuerySchool.aspx?Name=Glenvale School,Yarrambat,VIC,3091&State=VIC",93,562,"Glenvale School,Yarrambat,VIC,3091"
Non-government,3,5,1125,3162,"https://bettereducation.com.au/QuerySchool.aspx?Name=Leibler Yavneh College,Elsternwick,VIC,3185&State=VIC",93,568,"Leibler Yavneh College,Elsternwick,VIC,3185"
Government,3,5,1097,3016,https://bettereducation.com.au/QuerySchool.aspx?Name=Williamstown High School&State=VIC,93,1527,Williamstown High School
Government,3,5,1089,3129,https://bettereducation.com.au/QuerySchool.aspx?Name=Koonung Secondary College&State=VIC,93,963,Koonung Secondary College
Non-government,4,4,1084,3183,"https://bettereducation.com.au/QuerySchool.aspx?Name=Beth Rivkah Ladies College,St Kilda East,VIC,3183&State=VIC",93,592,"Beth Rivkah Ladies College,St Kilda East,VIC,3183"
Non-government,3,5,1099,3820,"https://bettereducation.com.au/QuerySchool.aspx?Name=St Paul's Anglican Grammar School,Warragul,VIC,3820&State=VIC",93,1260,"St Paul's Anglican Grammar School,Warragul,VIC,3820"
Non-government,3,5,1097,3300,"https://bettereducation.com.au/QuerySchool.aspx?Name=The Hamilton and Alexandra College,Hamilton,VIC,3300&State=VIC",93,482,"The Hamilton and Alexandra College,Hamilton,VIC,3300"
Non-government,3,4,1128,3442,"https://bettereducation.com.au/QuerySchool.aspx?Name=Braemar College,Woodend,VIC,3442&State=VIC",93,938,"Braemar College,Woodend,VIC,3442"
Government,3,5,1078,3150,https://bettereducation.com.au/QuerySchool.aspx?Name=Brentwood Secondary College&State=VIC,93,1645,Brentwood Secondary College
Non-government,3,5,1067,3690,"https://bettereducation.com.au/QuerySchool.aspx?Name=Victory Lutheran College,Wodonga,VIC,3690&State=VIC",93,751,"Victory Lutheran College,Wodonga,VIC,3690"
Government,4,4,1075,3194,https://bettereducation.com.au/QuerySchool.aspx?Name=Mentone Girls Secondary College&State=VIC,93,1110,Mentone Girls Secondary College
Non-government,3,4,1123,3550,"https://bettereducation.com.au/QuerySchool.aspx?Name=Girton Grammar School,Bendigo,VIC,3550&State=VIC",93,1133,"Girton Grammar School,Bendigo,VIC,3550"
